Medicine,Pharmacy,Price,Link,Cheapest Price
DOLO,Apollo,32,https://www.apollopharmacy.in/search-medicines/dolo,24
DOLO,PharmEasy,24,https://pharmeasy.in/search/all?name=dolo,24
DOLO,NetMeds,26,https://www.netmeds.com/products?q=dolo,24
